objekt,omfång,tid,institution,typavhandlingar,anmärkning
"Folkets husföreningen Stocka, Harmånger, Nordanstig",9 vol.,1907-1987,Folkrörelsernas arkiv i Gävleborg,"protokoll, utgående handlingar, register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, kartor, ritningar",Fax arkiv nr 1424
"Folkets husföreningen Strömsbro, Gävle (Strömsbo?)",1 vol.,1907,Folkrörelsernas arkiv i Gävleborg,"protokoll, räkenskaper",FAX arkiv nr 691
"Folkets husföreningen Vallvik, Söderala, Söderhamn",1 vol.,1960,Folkrörelsernas arkiv i Gävleborg,"protokoll, utgående handlingar","FAX arkiv nr 2816, NAD"
"Folkets husföreningen Ängebo, Bjuråker, Hudiksvall [Svågagården]",,1962-1989,Privat förvaring kontakta Folkrörelsernas arkiv i Gävleborg,"protokoll, räkenskaper, korrespondens, verksamhetsberättelser, ritningar","FHP-enkät, FA"
Robertsholms Folkets husförening,,1949-1965,Privat förvaring kontakta Folkrörelsernas arkiv i Gävleborg,"protokoll, föremål",
Uppsvenska Folkets husregionen,1 vol.,1969-1989,Folkrörelsernas arkiv i Gävleborg,"protokoll, utgående handlingar",FAX arkiv nr 3723
Folkets parkföreningen Bollnäs,1 vol.,1960-1961,Folkrörelsernas arkiv i Gävleborg,räkenskaper,"FAX arkiv nr 1730, NAD"
Folkets parkföreningen Gävle,247 vol.,1916-1991,Folkrörelsernas arkiv i Gävleborg,"protokoll, utgående handlingar, register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, statistik, kartor, ritningar, fotografier, tryck, föremål",FAX arkiv nr 1523
"Folkets parkföreningen Hassela, Nordanstig",1 vol.,1956,Folkrörelsernas arkiv i Gävleborg,"kartor och ritningar, affischer","FAX arkiv nr 2378, NAD"
"Folkets parkföreningen Åmot, Ockelbo",A. 1 vol.  B. okänt,A. 1951-1952   B. 1952-,A. Folkrörelsernas arkiv i Gävleborg  B. I lokalen,"A. protokoll, affischer   B. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar","A. FAX arkiv nr 2682. FA, NAD B. FHP-enkät"
Byggnadsföreningen Frånö Folkets Hus,14 vol.,1904-1979,Föreningsarkivet Västernorrland ; Härnösand samt privat,"protokoll, årsberättelser",FA i Härnösand arkiv nr Å 1045 och FHP-enkät
Svanö Folkets husförening,21 vol.,1933-1964,Föreningsarkivet Västernorrland ; Härnösand samt i lokalen. Enligt enkätuppgift också på landsarkivet i Härnösand.,"protokoll, årsberättelser, räkenskaper",FA arkiv nr Å 1048
Väja-Dynäs Folkets husförening,A. 40 vol.  B. fragment,A. 1919-1975  B.  1925-1935,A. Föreningsarkivet Västernorrland ; Härnösand B. ARAB,"A. protokoll, årsberättelser, historik B. stadgar, årsberättelser, klipp",A. arkiv nr Å 1051 ARAB: Folkets Hus och Parker; övriga landet vol. 5 och 10 [samling] Häri även program för FP 1929
"Kramfors socialdemokratiska byggnadsförening, Kramfors Folkets Hus och Park",A. 64 vol.,A. 1926-1972,A. Föreningsarkivet Västernorrland ; Härnösand B. I lokalen,"A. protokoll, årsberättelser B. protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar för de senaste tio åren",A. FA arkiv nr Å 1051 B. FHP-enkät
Föreningen Folkets Hus i Lo,45 vol.,1907-1971,Föreningsarkivet Västernorrland ; Härnösand,"protokoll, årsberättelser",arkiv nr Å 1189
Byggnadsföreningen Folkets Hus i Lunde u p a,63 vol.,1933-1986,Föreningsarkivet  i Västernorrland ; Härnösand,"protokoll, årsberättelser, register, inkomna handlingar, ämnesordnade handlingar, organisationshandlingar, räkenskaper, jubileumshandlingar","FAY 1 arkiv nr Å 1778, NAD. 1926 förstördes de äldre delarna av arkivet i en brand"
Föreningen Folkets Hus Härnösand,110 vol. vol.,1900-,Föreningsarkivet Västernorrland ; Härnösand,"protokoll, årsberättelser, jubileumsskrifter",arkiv nr Å 607
Byggnadsföreningen Folkets Hus i Utansjö,54 vol.,1913-1983,Föreningsarkivet Västernorrland ; Härnösand,"protokoll, årsberättelser",arkiv nr Å 1763
Sunnersta Folkets husförening,A. 19 vol. B. fragment,A. 1915-1986 B. 1928,A. Föreningsarkivet Västernorrland ; Härnösand B. ARAB,"A. protokoll, årsberättelser, korrespondens, ämnesordnade handlingar, räkenskaper, statistik B. stadgar","A. arkiv Å 2129 B. ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Köja Folkets husförening u p a,1 vol.,1930-1978,Föreningsarkivet Västernorrland ; Härnösand,"protokoll, årsberättelser, korrespondens, räkenskaper, ämesordnade handlingar",arkiv nr Å 1708
Alfredshems Folkets husförening,7 vol.,1922-1960,Föreningsarkivet Västernorrland ; Härnösand,"protokoll, årsberättelser, korrespondens, ämnesordnade handlingar, räkenskaper, statistik",FAY arkiv nr Å 61
Föreningen Folkets Hus i Örnsköldsvik,A. 93 vol.  B.,A. 1931-1969  B. FH 1929-    FP 1986-,A. Föreningsarkivet Västernorrland ; Härnösand B. I lokalen Parken Konferens Nöje,"A. verksamhetsberättelser, protokollsbilagor OBS! ej protokoll, register, inkomna  och ämnesordnade handlingar, personalhandlingar, fastighetshandlingar, räkenskaper, pressklipp, affischer B. protokoll, korrespondens, verksamhetsberättelser, räkenskaper, inventarieförteckningar, ritningar, fotografier, affischer",A. FAY1 arkiv nr Å 978 B. FHP-enkät
Föreningen Folkets Hus i Gullänget,A. okänt  B. fragment,A. 1934-1991 B. 1936,A. Föreningsarkivet Västernorrland ; Härnösand  B. ARAB,"A. protokoll, årsberättelser, ämnesordnade handlingar, räkenskaper B. stadgar",A. FA arkiv nr Å 1994 och FHP-enkät  B. ARAB FH och FP samling: övriga landet vol. 5
FHR: Södra Norrlands distrikt,,,Föreningsarkivet Västernorrland ; Sundsvall,,
Folkets Park förening u p a Alnö,4 vol.,1923-1971,Föreningsarkivet Västernorrland ; Sundsvall,"protokoll, matriklar, ämnesordnade handlingar, räkenskaper",arkiv nr M 470
Järkvissle Folkets husförening,1 vol.,1956-1984,Föreningsarkivet Västernorrland ; Sundsvall,årsberättelser,arkiv nr M 321
Folkets husföreningen Kämpenborg Johannedal,,,Föreningsarkivet Västernorrland ; Sundsvall,,
Folkets husföreningen Enighet u p a Matfors,A. 1 vol.  B. okänt,A. 1956-1981  B. okänt,A. Föreningsarkivet Västernorrland ; Sundsvall B. I lokalen Folkets Hus i Matfors,"A. årsberättleser, liggare och register, stadgar, ämnesordnade handlingar B. protokoll, korrespondens, räkenskakper, verksamhetsberättelser, ritningar","A. FAY 2 arkiv nr M 88, NAD B. FHP-enkät"
Föreningen Folkets Hus u p a Njurunda,30 vol.,1911-1973,Föreningsarkivet Västernorrland ; Sundsvall,"protokoll, årsberättelser, utgående handlingar, register och förteckningar, ämnesordnade handlingar, räkenskaper, ritningar",FAY2 arkiv nr M 40
Nyviks Folkets husförening u p a Nyvik,A. okänt  B. fragment,"A. okänt   B. 1911, 1917, 1920, 1939",A. Föreningsarkivet Västernorrland ; Sundsvall  B. ARAB,"B. affischer, klipp stadgar","ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Selångers Folkets husförening [Bergsåker],A. 71 vol.  B. fragment,A. 1927-1985,A. Föreningsarkivet Västernorrland ; Sundsvall B. ARAB,"A. protokoll, årsberättelser, matriklar, korrespondens, ämnesordnade handlingar, räkenskaper, ritningar m m B. historik","A. FA arkiv nr M 667, FHP-enkät B. ARAB: Folkets husföreningar vol 2 [samling] historik"
Skön-Timrå Folkets husförening u p a,43 vol.,1898-1955,Föreningsarkivet Västernorrland ; Sundsvall,"protokoll, årsberättelser, matriklar, inkomna handlingar, räkenskaper",arkiv nr M 472
Skönsbergs-Ortvikens Folkets husförening u p a,A. 77 vol. B. okänt,A. 1906-1982  B. 1950-tal -,A. Föreningsarkivet Västernorrland ; Sundsvall B. I lokalen,"A. protokoll, årsberättelser, matriklar, inkomna handlingar, korrespondens, ämnesordnade handlingar, räkenskaper, ritningar, fotografier, klipp B. protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier",A. FA arkiv nr M 473
