objekt,omfång,tid,institution,typavhandlingar,anmärkning
"Folkets husföreningarnas riksorganisation, FHR",c:a 460 volymer förtecknade handlingar samt diverse oförtecknade,,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, verksamhetsberättelser, korrespondens, ämnesordnade handlingar, räkenskaper, ritningar m m",Tillstånd. Arkiv nr 2926 under arbete. C:a 400 vol förtecknade handlingar (acc 1975/55) RA 18/01-20/22 c;a 40   vol räkenskapshandlingar (acc 1975/55) RB 34/13-16 1 vol från Gamla samlingen plac Ua 26/41 19 vol acc 1969/1 Ua 22/16-17 4 (7?) lådor RB 02/09-12 52 ? lådor  (1986/40) RB 11/04-16 31 lådor  (acc 1988/?) RD 78/01-10
"Folkets husföreningen, Ursvik",1 vol.,1970-tal - 1980-tal,"Arbetarrörelsens arkiv och bibliotek, Stockholm",kallelser,ARAB arkiv nr 2936 plac: 22/20
Föreningen Folkets husfonden för Stockholm med omnejd u p a,10 vol. samt 9 lådor,1926-1971?,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, räkenskaper m m","ARAB arkiv nr 2927 plac: 22/17, 26/39, RD 27/06, RB 11/07-08 samt Gr 3"
"Folkets husföreningen, Upplands Väsby",A. 1 vol.  B. okänt,A. 1907-1961  B. okänt,"A. Arbetarrörelsens arkiv och bibliotek, Stockholm B. I lokalen","A. protokoll, årsberättelser, stadgar, andelsbevis, fotografier, vykort, affischer B. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer",ARAB arkiv nr 2935 plac: 22/17 FHP-enkät
Nya Föreningen Folkets Hus i Spånga u p a,85 vol.,1904-1970,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, stadgar, förteckningar och register, inkomna skrivelser, ämnesordnade handlingar, räkenskaper, statistik, ritningar, fotografier, tryck",ARAB arkiv nr 1838 plac: 26/32-39
Föreningen Sollentuna Folkets Hus u p a,77 vol,1912-1994,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, årsberättelser, utgående handlingar, förteckningar, korrespondens, ämnesordnade handlingar, ritningar, räkenskaper","ARAB arkiv nr 4300 plac: RA 12/12 (4 vol ), RB 16/11-12  RD 17/01-06 (13)"
Munsö Folkets husförening u p a,3 vol.,1923-1967,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, årsberättelser, ämnesordnade handlingar, räkenskaper",ARAB arkiv nr 2929 plac 22/18
Råstahems Folkets husförening u p a,19 vol.,1946-1979,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, årsberättelser, stadgar, utgående och inkomna handlingar, ämnesordnade handlingar, räkenskaper, ritningar, tryck","ARAB arkiv nr 897 plac: 22/19-20, UE 07/02 (vol. 12) + RA 12/12"
Stenhamra  Folkets husförening,1 volym,1911-1936,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, andelsbevis",ARAB arkiv nr 2932 plac: 22/20
Älta Folkets husförening,A. 2 vol.+ B 1 vol.,A. 1925-1977 B. 1929-1955,"A. Arbetarrörelsens arkiv och bibliotek, Stockholm B. Nacka lokalhistoriska arkiv","A. protokoll, berättelser, stadgar, cirkulär, matriklar, register, ämnesordnade handlingar, räkenskaper B. verksamhetsberättelser, korrespondens, klipp",ARAB arkiv nr 754 plac: RA 17/01
Föreningen Folkets hus på Södermalm i Stockholm u.p.a.,8 vol.,(1884-1885) 1904-1940,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, årsberättelser, räkenskaper, tryck, fotografier",ARAB arkiv nr 1055 plac: 22/18
Folkets Hus och Park - övriga landet  [samling],3 vol. + 7 vol.,,"Arbetarrörelsens arkiv och bibliotek, Stockholm",,ARAB arkivnr 4542 plac: RC 49/05 och Ua 26/40
"Folkets Hus, Stockholm",3 vol,1897-,"Arbetarrörelsens arkiv och bibliotek, Stockholm","småtryck, affischer, fotografier m m",ARAB arkiv nr 4524 Handlingar från ARAB´s gamla samling plac 26/41
Föreningen Folkets Hus i Hagalund (Hagalunds Folkets husförening upa),A. 1 vol. B. 2 hm,A. 1909-1933 B. 1902-1966,"A. Arbetarrörelsens arkiv och bibliotek, Stockholm B. Solna stads centralarkiv","A. styrelse- och revisionsberättelser, andelsbevis B. protokoll, register, ämnesordnade handlingar",ARAB arkiv nr 3022 plac: 22/20 NAD ARAB [Samling] Folkets husföreningar vol. 1
Klintens Folkets husförening u p a,A.1 vol B.1 vol,A. 1939-1947 B. 1974,"A. Arbetarrörelsens arkiv och bibliotek, Stockholm B. Nacka kommuns centralarkiv","A. protokoll, inventarieförteckningar B. Övriga handlingar",ARAB arkiv nr 4211 plac: RD 17/09 NAD
"Folkparkernas centralorganisation, FPC",393 vol. + ljudband + affischer + 36 vol + 12 lådor+50 lådor+ 22 vol. + 8 lådor+41 vol +35 vol+ 18 vol.,1905-1983,"Arbetarrörelsens arkiv och bibliotek, Stockholm","Protokoll, utgående handlingar, liggare och register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, statistik, ljudband, film, tryck","ARAB arkiv nr 2938 under arbete plac: 393 vol. RD 12/01-25, 13/01-16 1 vol från gamla samlingen 26/41 K1  ljudband och spelfilm: UD affischer: RC, 12 lådor affischer acc 1994/062: R?, 50 lådor ritningar och affischer(acc 1995:083): SÖ mot väggen t v om dörren 36 vol (A1A, B7ba1, G2, G4): RB 31/17 22 vol (B2,D7): RC 24/35-36, 8 lådor acc 1996/057 R utan placering 41 vol (B2 38-78)  RC 20/3-06"
Byggnadsföreningen samlingshuset i Skederid u p a,2 vol.,1923-1961,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, räkenskaper",ARAB arkiv nr 2930 plac: 22/18
"Föreningen Folkets Park u p a, Hjo",A. 9 vol. B. 1 vol,A. 1921-1962 B. 1929-1933,"A. Skaraborgs läns follrörelsearkiv B. Arbetarrörelsens arkiv och bibliotek, Stockholm","B. protokoll, skrivelser, räkenskaper",ARAB arkiv nr 2943 plac: 24/29
"Gräslund, Gunnar [arkitekt]",41 vol.,,"Arbetarrörelsens arkiv och bibliotek, Stockholm","Korrespondens, kartor, ritningar, fotografier",ARAB arkiv nr 182 plac: RC 22/19-22
"Folkparkernas centralorganisation, teaterlotteriet",okänt+1 vol+ 1 vol,1919-1969,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, räkenskaper",ARAB arkiv nr 2939 plac: RB 31/18 + 1 vol RA 11/03 + 1 vol. RD 13/17
Folkparkernas artistförmedling,okänt+ 153 vol,1937-1985,"Arbetarrörelsens arkiv och bibliotek, Stockholm","verksamhetsberättelser, kontrakt , annulleringsorder, artistkataloger, rapporter, register,  räkenskaper,","ARAB arkiv nr 2941 plac: RB 31/19, 153 vol; RD 13/06-15"
Enskede nya Folkets husförening u p a,1 vol.,1927-1940,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, förteckningar, stadgar, korrespondens, räkenskaper",ARAB arkiv nr 2928 plac: 22/17 jfr arkiv nr 3108
Södra förstädernas medborgarhusförening u p a,1 vol.,1924-1965,"Arbetarrörelsens arkiv och bibliotek, Stockholm","protokoll, årsberättelser, utgående skrivelser, förteckningar och register, inkomna handlingar, räkenskaper, tryck",ARAB arkiv nr 2933 plac: 22/20
FHR: Östra folketshusdistriktet,3 vol.,1956-1991,"Arbetarrörelsens arkiv och bibliotek, Stockholm",protokoll,ARAB arkiv ner 1585 plac: 22/22
Bostorps Folkets parkförening,1 vol.,1919-1924,Folkrörelsearkivet i Blekinge,"protokoll, styrelseberättelse",förteckn nr E 020
"Folkets Hus café, Karlshamn",,,Folkrörelsearkivet i Blekinge,,FA
"Folkets husförening, Bellevueparken, Karlshamn",,,Folkrörelsearkivet i Blekinge,,FA
"Folkets husförening, Backaryd",1 vol.,1951,Folkrörelsearkivet i Blekinge,stadgar,FAK förteckn nr E 021
"Folkets husförening, Bräkne-Hoby",12 vol.,1907-1996,Folkrörelsearkivet i Blekinge,"protokoll, års- och revisionsberättelser, stadgar, skrivelser, matriklar, inventarieförteckning, andelsbevis, fastighetshandlingar, försäkringsbrev, historik, handlingar angående uthyrning till militär, handl rör nöjestillställningar m m, avtal, räkenskaper, klipp","Förteckning nr E 013, FA, NAD, FHP-enkät"
"Folkets husförening, Hällaryd",1 vol.,1908-1909,Folkrörelsearkivet i Blekinge,"stadgar, blanketter",förteckn nr E 024
"Folkets husförening, Hässeldalen",1 vol.,1927-1931,Folkrörelsearkivet i Blekinge,protokoll,förteckn nr E 019
"Folkets husförening, Hästö",4 vol.,1925-1952,Folkrörelsearkivet i Blekinge,"protokoll, årsberättelser, stadgar, röstlängd, andelsförteckning, korrespondens, historik, ämnesordnade handlingar, avtal, räkenskaper, bilder",förteckn nr Ea 024
"Folkets husförening, Högadal",2 vol.,1933-1990,Folkrörelsearkivet i Blekinge,"protokoll, årsberättelser, matriklar, ämnesordnade handlingar, räkenskaper",förteckn nr Ea 021
"Folkets husförening, Jämshög",A. 2 vol.  B. fragment,A. 1937-1987  B. 1917,A. Folkrörelsearkivet i Blekinge   B. ARAB,"A. protokollsutdrag, stadgar, verksamhets- och revisionsberättelser, inventarieförteckning, handlingar rör fastigheter, korrespondens, handl rör biografen, räkenskaper, trycksaker  m m B. stadgara","A. FAK förteckn nr E 029, NAD B. ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
"Folkets husförening, Kallinge","10 vol. (FAK, 14 vol. enlig NAD)",1907-1981,Folkrörelsearkivet i Blekinge,"protokoll, årsberättelser, medlemskort, ämnesordnade handlingar, räkenskaper",FAK förteckn nr Ea 025
"Folkets husförening, Karlshamn",46 vol.,(1840) 1899-1997,Folkrörelsearkivet i Blekinge,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförtecknignar, ritningar, fotografier, affischer","FA, FHP-enkät"
"Folkets husförening, Karlskrona",A. 1 vol.  B. okänt,A. 1899-1963 B. 1989-99,A. Folkrörelsearkivet i Blekinge  B. I lokalen?,"A. styrelse- och revisionsberättelser, stadgar, program, historik, blanketter, upprop, räkenskaper, fotografi m m B. protokoll, räkenskaper, verksamhetsberättelser, ritningar",A. FA förteckn nr E 024 B. FHP-enkät
"Folkets husförening, Lyckeby",1 vol.,1918-1970,Folkrörelsearkivet i Blekinge,"stadgar, insatsbevis, revisionsberättelser, hyresbok, protokoll, räkenskaper, inventarieförteckningar","FAK förteckn nr Ea 026, FHP-enkät"
"Folkets husförening, Ronneby",80 vol.,1901-1989,Folkrörelsearkivet i Blekinge,,
"Folkets husförening, Sölvesborg",A. 6 vol. B. Fragment C. okänt,A. 1905-1975  B. 1958  C. 1977,A. Folkrörelsearkivet i Blekinge B. Nordiska museet C. I lokalen,"A. protokoll, stadgar, mötesförteckning, fullmakter, räkenskaper, tidningar, klipp B. inventeringsrapport, foto C. protokoll, räkenskaper, verksamhetsberättelser, inventarieförtecknignar, ritningar, fotografier",A. FA  förteckn nr Ea 023 B. NM C. FHP-enkät
Mörrums Folkets husförening,A. 1 vol.  B. okänt C. fragment,A. 1908-1947 B. okänt C. okänt,A. Folkrörelsearkivet i Blekinge  B. I lokalen C. Nordiska museet,"A. stadgar, jubileumshandlingar B. protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier C. vykort, fotografier",A. FA förteckn nr E 026 B. FHP-enkät C. NM-inventeringsrapport 1958
Nättraby Folkets husförening,A. 1 vol. B. fragment  C. okänt,A. 1917-1977 B. 1923  C. 1960-tal -,A. Folkrörelsearkivet i Blekinge B. ARAB  C.  I lokalen,"A. protokoll  B. stadgar  C. protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar","A. FA förteckn nr Eb 017 se också Nättraby Folkets Hus kooperativa handelsförening B. ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Olofströms Folkets husförening,A. 1 vol. B. okänt,A. 1907-1947  B. 1906-,A. FA Blekinge B. I lokalen,"A. årsberättelse, stadgar, historik, fotografi B. protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar",A. FA förteckn nr E 027 B. FHP-enkät
Kallinge Folkpark,1 vol.,1927-1932,Folkrörelsearkivet i Blekinge,protokoll,FAK förteckn nr E 018
Föreningen Kooperativ u p a Hunnebostrand,A. 54 vol. B. fragment,"A. 1904-1978  B. 1910, 1935, 1951-63",A. Bohusläns föreningsarkiv  B. ARAB,"A. protokoll, årsberättelser, inventarieförtecknignar, uthyrningshandlingar, skrivelser, ämnesordnade handlingar, räkenskaper, statistik, ritningar, klipp och trycksaker, övrigt B. korrespondens, klipp, program","A. arkiv nr 261 B. ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment Häri även Folkets Park Hunnebostrand"
Folkets husföreningen i Stigen [Föreningen Folkets Hus i Stigen u p a],"A. 0, 87 hm  B. fragment","A. 1922-1996  B. 1923, 1928",A. Bohusläns föreningsarkiv   B. ARAB,"A. protokoll, årsberättelser, utgående handlingar, register och matriklar, korrespondens, rapporter, ämnesordnade handlingar, räkenskaper, ritningar B. stadgar, upprop","A. Bohusläns FA arkiv nr 629, NAD ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Ellös byggnadsförening u p a (Folkets Hus & Folkets Park),"A. 0, 08 hm  B. fragment C. okänt","A. 1951-1959  B. 1936, 1960 C. okänt",A. Bohusläns föreningsarkiv  B. ARAB C. I lokalen Ellös Folkets Hus,"A. rapporter och verksamhetsberättelser, korrespondens, ämnesordnade handlingar, klipp B. stadgar, klipp C. protokoll, verksamhetsberättelser, korespondens, räkenskaper, ritningar, affischer","A. FA arkiv nr 544, NAD B. ARAB FH och FP samling: övriga landet vol. 5 C. FHP-enkät"
Byggnadsföreningen Folkets Hus u p a Hamburgsund,"A. 0, 21 hm  B. fragment",A. 1904-1993  B. 1905,A. Bohusläns föreningsarkiv  B. ARAB,"A. protokoll, årsberättelser, utgående handlingar, ämnesordnade handlingar, räkenskaper B. stadgar",A. FA arkiv nr 790 B. ARAB FH och FP samling: övriga landet vol. 5 FHP-enkät
FHR: Bohusläns distrikt,"0, 03 hm, FA fragment, ARAB",1944-,Bohusläns föreningsarkiv,FA: protokoll ARAB: avtal,FA: arkiv nr 934 ARAB FHP-samling: övriga landet vol. 4
Berfendals Folkets husförening u p a,1 vol.,1926-1955,Bohusläns föreningsarkiv,"revisionsberättelse, medlemsregister, skrivelser, handlingar rörande andelsbevis, räkenskaper",arkiv nr 69
Folkets husföreningen u p a Härnäset,"A. 0, 90 hm  B. fragment",A. 1913-1954  B. 1902,A. Bohusläns föreningsarkiv  B. ARAB,"A. protokoll, årsberättelser, matriklar, programförteckningar, skrivelser, ämnesordnade handlingar, räkenskaper, statistik, kartor och ritningar, trycksaker och klipp B. stadgar","A. arkiv nr 71  B. ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Folkets parkföreningen Uddevalla,"3, 70 hm",1908-1996,Bohusläns föreningsarkiv,"protokoll, årsberättelser, skrivelser, inventarieförteckningar, rapporter, ämnesordnade handlingar, räkenskaper, ritningar, fotografier, trycksaker, affischer","arkiv nr 70, FA, NAD"
Folkets husföreningen Uddevalla u p a,"1, 4 hm",1902-1985,Bohusläns föreningsarkiv,"protokoll, årsberättelser, rapporter, skrivelser, ämnesordnade handlingar, räkenskaper, inventarieböcker, klipp och trycksaker","FA arkiv nr 74, NAD, FHP-enkät"
Folkets husföreningen Näsinge,2 vol.,1924-1966,Bohusläns föreningsarkiv,protokoll,"arkiv nr 155, NAD"
Folkets Hus byggnadsförening u p a Ljungskile,1 vol.,1934-1974,Bohusläns föreningsarkiv,"protokoll, stadgar, historik, fotografier, videoband",arkiv nr 710
Folkets husföreningen Lysekil u p a,"1, 75 hm",1900-1991,Bohusläns föreningsarkiv,"protokoll, årsberättelser, skrivelser, avtal, kontrakt, förteckningar, ämnesordnade handlingar, räkenskaper, kartor, ritningar, klipp, affischer, fotografier","FA arkiv nr 530, NAD, FHP-enkät"
Munkedals Folkparksförening,"0, 75 hm",1932-1985,Bohusläns föreningsarkiv,"protokoll, årsberättelser, korrespondens, ämnesordnade handlingar, räkenskaper, fotografier, trycksaker, affischer",arkiv nr 682
Ödeborgs Folkets husförening,"A. 0, 60 hm B. fragment","A. 1914-1996 B. 1920, 1926,1948",A. Bohusläns föreningsarkiv  B. ARAB,"A. protokoll, årsberättelser, matriklar och förteckningar, korrespondens, ämnesordnade handlingar, räkenskaper, statistik, kartor och ritningar, klipp B. stadgar, årsberättelese",FA: arkiv nr 270 ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling] FHP-enkät
Folkets husföreningen Malmön,B. 1 vol.,A. 1903-1962 B. 1948-1959 C. 1958,"A. Landsarkivet i Göteborg B. Bohusläns föreningsarkiv, Uddevalla 1948-59:","A. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckning, biografstatistik 1948-1962, handl. rörande biblioteksverksamhet 1898-1951 B. räkenskaper C. nventeringsrapport 1958, vykort","B. arkiv nr 550, NAD FHP-enkät, NM, FA, NAD"
Herrestads Folkets husförening u p a,"A. 0, 12 hm  B. fragment",A. 1929-1997 B. 1936,A. Bohusläns föreningsarkiv  B. ARAB,"A. protokoll, stadgar, revisionsberättelser, avtal, matriklar, skrivelser, ämnesordnade handlingar, räkenskaper B. stadgar","A. FA arkiv nr 1164 B. ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Sjöbols Folkets husförening u p a,"A. 0, 15 hm  B. fragment",A. 1908-1964  B.  1908,A. Bohusläns föreningsarkiv  B. ARAB,"A. protokoll, matriklar, ämnesordnade handlingar, räkenskaper, ritningar B. stadgar","A. FA arkiv nr 881 B. ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Högås Folkets husförening u p a,1 vol.,1934-1938,Bohusläns föreningsarkiv,protokoll,arkiv nr 408
Heestrands Folkets husförening,1 vol.,1927-1944,Bohusläns föreningsarkiv,protokoll,"arkiv nr 460, NAD"
Föreningen Folkets Hus u p a Ulebergshamn,A. 1 vol. . fragment,"A. 1917-1977 B. 1902-04, 1906",A. Bohusläns föreningsarkiv  B. ARAB,"A. protokoll, fotografier B. korrespondens","FA arkiv nr 716 ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Föreningen Folkets Hus Ramsvik u p a,5 vol.,1908-1964,Bohusläns föreningsarkiv,"protokoll, årsberättelser, förteckningar och register, stadgar, räkenskaper",arkiv nr 72
Föreningen Folkets Hus i Forshälla u p a,A. 1 vol.,A. 1937-1979,A. Bohusläns föreningsarkiv,"protokoll, stadgar, årsberättelser, skrivelser, ämnesordnade handlingar, räkenskaper",arkiv nr 1180
Folkets husföreningen Enköping,9 vol.,1904-1991,Arbetarrörelsens arkiv  Enköping,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar, fotografier, affischer","NAD, FHP-enkät"
Folkets husföreningen Gimo,,1923-1987,"Privat förvaring, kontakta Folkrörelsernas arkiv för Uppsala län","protokoll, organisationshandlingar, fastighetshandlingar, räkenskaper",
Folkets husföreningen Hargshamn,,1922-,Folkets hus Hargshamn och Folkrörelsearkivet för Uppsala län,"protokoll, register, organisationshandlingar, fastighetshandlingar, räkenskaper, inventarieförteckningar, verksamhetsberättelser, ritningar",FAC fragment nr 89 ARAB: Folkets husföreningar vol. 1 [samling] FHP-enkät
Folkets husföreningen Lövstabruk,,1924-,"Folkets Hus, Lövstabruk och Folkrörelsearkivet för Uppsala län","protokoll, utgående handlingar, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, affischer",FA-C fragment  nr 75 och FHP-enkät
Folkets husföreningen Länna,,1941-1974,Landsarkivet Uppsala,,
Folkets husföreningen Österby-Dannemora,fragment,1922-1983,Dannemora förenings- och hembygdsarkiv Folkrörelsearkivet för Uppsala län,FAC fragment ämnesordnade handlingar 1922-1972,FAC fragment nr 26 ARAB: Folkets husföreningar vol. 3 [samling] Upplands museum: fragment
Folkets parkföreningen Knutby,,,förvaras hos styrelseledamöter,fragment 1994 Folkrörelsernas arkiv för Uppsala län,"Uppgifter från Folkrörelsearkivet för Uppsala län, NAD"
FHR: Folkets husdistriktet Uppland,fragment,1941-1956,Folkrörelsearkivet för Uppsala län,"protokoll, räkenskaper",fragment nr 24
Folkets husföreningen Almunge,1 vol.,1938-1950,Folkrörelsearkivet för Uppsala län,"protokoll, utgående handlingar, korrespondens",arkiv nr 1939
Folkets husföreningen Bålsta,3 vol.,1943-1966,Folkrörelsearkivet för Uppsala län,"utgående handlingar, räkenskaper",FAC arkiv nr 290
Folkets husföreningen Ekolsund,7 vol.,1913-1977,Folkrörelsearkivet för Uppsala län,"protokoll, utgående handlingar, liggare och register, korrespondens, ämnesordnade handlingar, räkenskaper, ritningar",FAC arkiv nr 1880
Folkets husföreningen Harg u p a,3 vol.,1923-1973,Folkrörelsearkivet för Uppsala län,"protokoll, utgående handlingar, korrespondens, ämnesordnade handlingar, räkenskaper, fotografier, tryck",FAC arkiv nr 1280
Folkets husföreningen Knivsta,1 vol.,1920-1924,Folkrörelsearkivet för Uppsala län,protokoll,FAC arkiv nr 189
Folkets husföreningen Marma u p a byggnadsförening,A. fragment  B. okänt,A. 1919-     B. okänt,A. Folkrörelsearkivet för Uppsala län   B. I lokalen,"A. utgående handlingar   B. protokoll, räkenskaper, verksamhetsberättelser, ritningar",A. FAC fragment nr 75 B. FHP-enkät
Folkets husföreningen Märsta u p a,A. 1 vol.  B. fragment,"A. 1937-1943   B. 1914,  1919-1920",Folkrörelsearkivet för Uppsala län,"A. protokoll  B. affischer, insatsbevis, stadgar","A. FAC arkiv nr 232 B. [samling] Folkets Hus och Parker, Stockholm vol. 1."
Folkets husföreningen Skutskär byggnadsförening,21 vol.,1906-1981,Folkrörelsearkivet för Uppsala län,"protokoll, utgående handlingar, register, korrespondens, ämnesordnade handlingar, räkenskaper, ritningar, fotografier, tryck",FAC arkiv nr 1152
Folkets husföreningen Upplands-Ekeby,fragment,1931-1945,Folkrörelsearkivet för Uppsala län,protokoll,FAC fragment nr 78
Folkets husföreningen Älvkarleby,12 vol.,1922-1927,Folkrörelsearkivet för Uppsala län,"protokoll, utgående handlingar, register, korrespondens, ämnesordnade handlignar, räkenskaper, statistik, ritningar",FAC arkiv nr 1259
Folkets husföreningen Uppsala,58 vol.,1889-1998,Folkrörelsearkivet för Uppsala län,"protokoll, utgående handlingar, register, korrespondens, ämnesordnade handlignar, räkenskaper, ritningar, fotografier, tryck och föremål",FAC arkiv nr 1247
Folkets Hus och parkföreningen Järlåsa,1 vol.,1948-1991,Folkrörelsearkivet för Uppsala län,"protokoll, utgående handlingar, korrespondens, fotografier",FAC arkiv nr 2032
Folkets Hus och parkföreningen Österunda,1 vol.,1922-1969,Folkrörelsearkivet för Uppsala län,"protokoll, korrespondens, ämnesordnade handlingar","FAC arkiv nr 1537, NAD"
"Folkets parkföreningen Gränby, Uppsala",1 vol.,1980-1992,Folkrörelsearkivet för Uppsala län,"protokoll, utgående handlingar, ämnesordnade handlingar, ritningar, fotografier, tryck",FAC arkiv nr 2053
Folkets parkföreningen Knutby,fragment,1994-,Folkrörelsearkivet för Uppsala län,"protokoll, ämnesordnade handlingar",FAC fragment nr 75
Folkets parkföreningen Söderfors,fragment,1926-1930,Folkrörelsearkivet för Uppsala län,räkenskaper,FAC fragment nr 45
Folkets parkföreningen Uppsala,1 vol.,1917-1955,Folkrörelsearkivet för Uppsala län,"protokoll, utgående handlingar, korrespondens, ämnesordnade handlingar, tryck","FAC arkiv nr 1248, NAD"
Folkets husföreningen i Mölndal,,1930-1983,FA Mölndal,"mötesprotokoll 1931-1989, styrelseprotokoll 1930-1939","FA, NAD"
Mölnlycke Folkets husförening,,,FA Mölndal,mötesprotokoll 1903-1957,
Krokslätt Folkets husförening,,,FA Mölndal,mötesprotokoll 1930-1936,"FA, NAD"
Partille Folkets Hus och parkförening,,1931-1961,Folkrörelsernas arkiv Mölndal,"mötesprotokoll 1931-1953, styrelseprotokoll 1931-1976","FA, NAD"
Folkets parkföreningen Mölnlycke,,1933-1952,Folkrörelsernas arkiv  Mölndal,mötesprotokoll 1930-1952,NAD
Folkets parkföreningen Mölndal,,1926-1973,FA Mölndal,mötesprotokoll 1926-1945,NAD
Skellefteå Folkets Hus ekonomiska förening,,1931-1963,"Folkrörelsernas arkiv i Västerbotten, Skellefteå","protokoll, korrespondens, historik, räkenskaper, verksamhetsberättelser, fotografier",FAV arkiv nr 3682 jfr Skellefteå stads folketshusförening FAV arkiv nr 2605
"Adaks Folkets husförening, Malå",,,"Folkrörelsearkivet i Västerbotten, Skellefteå","handlingar rörande fastigheten, verifikat m m",FAV arkiv nr 2215
Adakgruvans Folkets husförening i Adak,,1948-1977,"Folkrörelsearkivet i Västerbotten, Skellefteå","protokoll, medlemsförteckningar, korrespondens, räkenskaper, verksamhetsberättelser m m",FAV arkiv nr 2733
Bastuträsk Folkets husförening,,1943-196,"Folkrörelsearkivet i Västerbotten, Skellefteå samt i Folkets Hus","protokoll, utgående handlingar, register, inkomna handlingar, ämnesordnade handlingar, organisationshandlingar, fastighetshandlingar, räkenskaper, statistik, ritningar","FAV arkiv nr 2211, FA, NAD"
Bergsbyns Folkets husförening,,1942-1980,"Folkrörelsearkivet i Västerbotten, Skellefteå","protokoll, räkenskaper, stadgar",FAV arkiv nr 2592 och 3520
Bjurholms Folkets husförening,,1946-1989,"Folkrörelsearkivet i Västerbotten, Umeå","protokoll, kassaböcker","FAV arkiv nr 4642, NAD"
Bolidens Folkets husförening u p a,,A. 1933-1963,"A. Folkrörelsearkivet i Västerbotten, Skellefteå B. I lokalen","A. verksamhetsberättelser, jubileumsskrift [1926-1946] B. protokoll, räkenskaper, verksamhetsberättelser, fotografier, ritningar","FA, FHP-enkät"
"Brännfors Folkets husförening, Byske",A. okänt   B. fragment,A. 1915-1936 (1991)  B. 1910,"A. Folkrörelsearkivet i Västerbotten, Skellefteå B. ARAB",A. protokoll m m    B. stadgar,A. FAV arkiv nr 2317 B. ARAB FH och FP samling: övriga landet vol. 5
Bureå Folkets husförening u p a,,A. 1932-1965  B. 1923-1971,"A. Folkrörelsearkivet i Västerbotten, Umeå B. I Folkets Hus","A. verksamhetsberättelser, anslag B. protokoll, register, inkomna handlingar, ämnesordnade handlingar, fastighetshandlingar, räkenskaper","A. FAV arkiv nr 2562, FA, NAD B. FHP-enkät"
Byske Folkets parkförening u p a,,A. 1923-1991 B. 1992-,"A. Folkrörelsearkivet i Västerbotten, Skellefteå B. I lokalen","A. protokoll, korrespondens, matriklar, räkenskaper, verksamhetsberättelser, stadgar, ämnesordnade handlingar, ritningar B. historik, protokoll, räkenskaper",jfr Byske Folketshusförening A. NAD B. FHP-enkät
Byske Folkets husförening u p a,,1908-1924,"Folkrörelsearkivet i Västerbotten, Skellefteå","inkomna handlingar, ämnesordnades handlingar, organsiationshandlingar, fastighetshandlingar","FA, NAD jfr Byske Folkets Parkförening FAV arkiv nr 2926"
Dorotea Folkets husförening,2 vol.,1943-1973,"Folkrörelsearkivet i Västerbotten, Umeå","protokoll, stadgar, kassaboöcker","FAV arkiv nr 4289. Enligt NAD finns även arkivhandlingar i Åsele kommunarkiv, möjligen överförda till FAV"
Flarkens Folkets husförening,,1939-1968,"Folkrörelsearkivet i Västerbotten, Umeå","protokoll, korrespondens, stadgar, ämnesordnade handlingar, räkenskaper, fastighetshandlingar, organsiationshandlingar","FAV arkiv nr 1013, NAD"
Folkets husföreningarnas samarbetsnämnd i Skellefteå kommun,,1971-1980,"Folkrörelsearkivet i Västerbotten, Umeå","minnesanteckningar, protokoll, adressförteckningar, korrespondens m m",
