författare,titel,ortförlag,utgivningsår,omfång,medförfattare,medarbetare,utgivare,serie,isbn,anmärkning,klassificering,placeringarab
"Knutsson, Rickard",Nöjesplatsen Åhusparken : verksamhet och artister i Åhus Folkets Hus och Park under 80 år / sammanställd av Rickard Knutsson.,Åhus : Folkets Hus och Park,1986,71 s. : ill.,,Åhus Folkets Hus och Park,,,,,Ohma-cz Åhus Ohmb-cz Åhus,Br67/3536
,Minnesskrift till föreningen Åtvidabergs Folkparks tjugofemårsjubileum 1906 16/7 1931.,Norrköping,1931,32 s.,,,,,,,Ohmb-cz Åtvidaberg,Br/26680
,Föreningen Åtvidabergs Folkpark : festskrift 1906-1946.,Åtvidaberg,1946,32 s. : ill.,,,,,,,Ohmb-cz Åtvidaberg,Br/27276
"Malmsten, Fritte",Berättelse över Folkets Parks i Örebro 25-åriga verksamhet 1902-1927.,Örebro,1927,31 s.,,,,,,,Ohmb-cz Örebro,Br/25395
,Från Rynninge till Adolfsberg : en festplats under 50 år : Folkparken Örebro 1902-1952.,Örebro,1953,62. : ill.,,,,,,,Ohmb-cz Örebro,Br/27277
,Parkbladet : minnesblad över invigningen af Östersunds Folkpark den 7 juni 1903 / utg. Agitations-komitén.,Östersund,1903,16 s.,,,Agitations-kommittén,,,,Ohmb-cz Östersund,Br/27266
"Aldén, John-Erik","Folkets Hus i Örebro 1928-1998 / författare: John-Erik Aldén, Axel Lidström och Bengt Viktorsson",Örebro : Folkets Hus,1999,24 s. : ill.,"Lidström, Axel Viktorsson, Bengt",,,,,,Ohma-cz Örebro,
"Svensson, Sven-Ove",Hus för fôlk : värmländsk folketshushistoria / Sven-Ove Svensson,Karlstad : Värmland/Dals folketshusregion,1999,15 s. : ill.,,,,,,,Ohma-cz Värmland,
"Olsson, Cissela","Hus för nöje och bildning : Folkets Hus, Folkets Park, ordenshus",Växjö : Länsstyrelsen i Kronobergs län,1999,70 s. : ill.,,,,,91-89285-01-8,,Ohm-cz Småland,
"Arnqvist, Maria","Svartöstadens Folkets Hus, 1902-1998 : en förstudie för en framtida verksamhet .../ Maria Arnqvist",Luleå : Luleå kommun,1998,33 s. : ill.,,,,,,,Ohma-cz Svartöstaden,Br 67/5327
"Karlsson, Göran","90 år : Norrahammars Folkets husförening, 1908-1998",Norrahammar : Fören.,1998,37 s. : ill.,,,,,,,Ohma-cz Norrahammar,Br 67/5283
"Andersson, Kerstin",Samlingslokaler - värda att vårda varsamt,Karlskrona : Boverket : Stockholm : Riksantikvarieämbetet,1997,24 s. : ill.,,,,,91-7147-342-4,,Ohm-c,Br67/5080
"Gustafsson, Bertil","Glesbygd blev samhälle : med järnväg samt bruk, folkpark och Folkets Hus : Strömsnäsbruks byggnadsförening upa 1907-1997 / Bertil Gustafsson",Strömsnäsbruk : Strömsnäsbruks byggnadsförening,1997,77 s. : ill.,,,,,,,Ohma-cz Strömsnäsbruk Ohmb-cz Strömsnäsbruk,67/17246
"Åkesson, Bert",3 Limhamns Folkets Hus och 1 Park / Bert Åkesson,Malmö : Folkets Hus i Limhamn,1997,57 s. : ill.,,Folkets Hus (Limhamn),,,,,Ohma-cz Limhamn Ohmb-cz Limhamn,
"Albinsson, Tage m fl",Folkets Hus i Olofström : från Vilboken till Storgatan / Tage Albinsson ...,Olofström : Vekerum : ABF,1995,95 s. : ill.,,"Albinsson, Tage Arbetarnas bildningsförbund (Olofström)",,,91-86722-54-9,FHP-enkät,Ohma-cz Olofström,
,Folkets Hus på Gotland : en dokumentation,Visby : ABF Gotland,1990,27 s. / ill.,,"Lahne, Erik Arbetarnas bildningsförbund (Gotland)",,,91-87826-04-6,,Ohma-cz Gotland,Br67/2139 Br67/2240
"Kjellgren, Lennart",Skojarna på Skolgatan : en rapsodi kring Folkets Hus teater 1893-1947 / Lennart Kjellgren,Malmö : Fören. för scen- och manegemuseum,1992,139 s. : ill.,,Föreningen för scen- och manegemuseum,,,91-630-1548-X,,Ohma-cz Malmö,
"Kassman, Charles",Idéernas mötesplats : Folkets husrörelsen 100 år / av Charles Kassman,Stockholm : Folkets Husföreningarnas Riksorganisation : Tiden,1992,"395 s. : ill., tab.",,Folkets husföreningarnas riksorganisation,,,91-550-3910-3,,Ohma-c,REF 2:3 67/15511 67/15512
"Köhler, Anders",Skelleftehamns Folkets Hus 60 år [Kallholmens Folkets Husförening],Skelleftehamn : Folkets Hus,1994,60 s. : ill.,,Folkets Hus (Skelleftehamn),,,,,Ohma-cz Skelleftehamn,
"Keidser, Harry","Folkets Hus, Lund 1903-1993",Lund : H. Keidser,1993,28 s.,,,,,,,Ohma-cz Lund,
"Elowsson, Nils",Ett 100-årigt Folkets Hus / av Nils Elowsson,Kristianstad : Folkets Hus,1992,8 s. : ill.,,,,,,,Ohma-cz Kristianstad,
"Silén, Birgitta",Så störtade folket Pinochet : om arbetarrörelsens biståndsprojekt Folkets Hus i Chile / text: Birgitta Silén,Stockholm : Arbetarrörelsens internationella centrum,1992,33 s. : ill.,,Arbetarrörelsens internationella centrum,,,,,Ohm,Br67/4891
"Johansson, Lars-Ola",Folkets Hus och funktionalismen : en jämförande studie mellan byggnadsprojektet nya Folkets Hus i Linköping och Hans Asplunds utvärdering av funktionalismen i boken “Farväl till Funktionalismen”,"Stockholm : Konstvetenskapliga inst., Stockholms univ.",1990,59 bl.,,,,,,,Ohma-cz Linköping,
"Persson, Stellan",Detta samhälle krävde detta hus- : en berättelse om Luleå folketshusförening u.p.a. och arbetarrörelsen åren 1898-1988 / av Stellan Persson,Luleå : Folkets Hus förl.,1989,112 s. : ill.,,,,,91-7970-767-X,,Ohma-cz Luleå,
,Rinkeby Folkets Hus : en mötesplats mitt i värden / tecknat och skrivet av en skolklass i Rinkeby i samarbete med Elly Berg ... ; foto: Elly Berg,Stockholm : Författares bokmaskin : Kultursamverkansprojektet i Rinkeby,1986,79 s. : ill.,,"Berg, Elly Kultursamverkansprojektet i Rinkeby",,,91-7328-526-9,,Ohma-cz Rinkeby,
"Wiklund, Heléne",Folkets Hus i Stora Vika : examensarbete i Formlära/Byggnadsakustik,Stockholm : KTH/A,1989,Ca 40 s. : ill.,,,,,,,Ohma-cz Stora Vika,
,Ett levande hus -med kultur,Stockholm : Folkets Husföreningarnas Riksorganisation,1989,38 s. : ill.,,Folkets Husföreningarnas Riksorganisation,,,,,Ohma-c,
,Norrahammars Folkets husförening 80 år : 1908-1988 : jubileumsskrift,Norrahammar : Fören.,1988,96 s. : ill.,,,,,,,Ohma-cz Norrahammar,Br67/4033
"Aalto, Alvar",Työväentalo,Jyväskylä : Alvar Aalto-museo,1984,32 s. : huvudsakl. ill.,,"Mattila, Satu",,Alvar Aallon arkkitehtuuria ; 3,951-95632-5-3,Parallelltitel: The Worker’s Club : 1923-1925 / Alvar Aalto ; toimitus / editor: Satu Mattila ; käännös / translation: Jonathan Moorhouse. Parallelltext på engelska och finska.,Ohm,
"Ramberg, Harry",Folkets Hus Hagfors : en rörelse - en epok,Hagfors : Textåbild,cop. 1984,48 s. : ill.,,,Föreningen Folkets Hus,,91-970628-0-4,,Ohma-cz Hagfors,
"Winter, Karin",Hus för folket : en inventering av Folkets Hus och Folkets Park i Malmöhus län / Karin Winter,Lund : Skånes hembygdsförb. : Malmö : Länsantikvarien,1981,60 s. : ill.,,,Malmöhus län. Länsantikvarien Skånes hembygdsförbund,,91-7260-588-X,,Ohma-cz Malmöhus län Ohmb-cz Malmöhus län,
"Wallbom, Karl-Erik",Köpings Folkets husförening u.p.a. 50 år : Köping Folkets Hus 10 år / enligt uppdrag: Karl-Erik Wallbom,Köping : Folkets Hus styr.,1980,15 s. : ill.,,,Köpings Folkets husförening,,,,Ohma-cz Köping,Br67/2294
"Eriksson, Gösta",“Hjälps vi åt ---” : Rydö Folkets Hus 75 år : en jubileumsskrift,Rydöbruk : Folkets Hus,1984,68 s. : ill.,"Nurmi, Kurt Hildingsson, Lennart",,Föreningen Folkets Hus,,,,Ohma-cz Rydö,Samling: Folkets husföreningar vol. 2
"Johansson, Jonas",Folkets Hus Kumla 1920-1980 : en historik över föreningen Folkets Hus i Kumla under 60 år / på föreningens uppdrag sammanst. av Jonas Johansson,Kumla : Fören.,1980,35 s. : ill.,,,Föreningen Folkets Hus,,,,Ohma-cz Kumla,
"Holmgren, Lars Olof",Folkets Hus Hallstavik : en historik 1920-1980,Hallstavik : Folkets husfören.,1980,60 s. : ill.,,,Föreningen Folkets Hus,,,,Ohma-cz Hallstavik,Br67/2854
,Föreningen Folkets Hus Motala 1905-1980 : 75 år,Motala : Fören.,1980,24 s. : ill.,,,,,,,Ohma-cz Motala,Br67/2867
,Föreningen Folkets Hus Huskvarna 80 år : 1903-1983,Huskvarna : Fören.,1983,30 s. : ill.,,,Huskvarnas Folkets husförening,,,,Ohm-cz,
"Hansen, Kjell",Föreningen Folkets Hus i Östersund 1906-1980 : en historik i text och bilder,Östersund : Fören.,1981,32 s. : ill.,,,,,,,,Samling: Folkets husföreningar vol. 3
,La Maison du Peuple de Bruxelles 1882 - 1907 Souvenir du XXVme anniversaire,de Bruxelles Société Coopèrative Ouvrière,1907,60 ill,,,,,,,,Br 67/5735
"Andersson, Stefan",Det organiserade folknöjet: en studie kring de svenska folkparkerna 1890-1930-talet,Lund: S. Andersson,1987,"206 s.:ill., tab.",,,,,91-7900-375-3,"Diss, Lunds universitet ; Sociologiska institutionen 1988","Ohm-c:k.5, Samlingslokaler Allmänna Sveriges Historia Modern Tid",
"Swensen, Grete","Moderne, men avleggs? : foreningers byggevirksomhet i formativt perspektiv 1870-1940",Oslo: Scandinavian University Press,1997,385 s. ill.,,,,Acta humaniora (Oslo); 27,82-00-12789-3,"Diss. Oslo universitet, 1996","Ic-db. 5, Arkitektur Norge Modeern Tid Bk-db, Sällskap Föreningar Allmänna Norge",
"Swensen, Grete",Forsamlingshuset: bygdas storstue,Oslo: Norsk etnologisk granskning,1992,16 s.,,,,,82-91161-06-2,,,
"Engel, Ann Mari",Folkets Parkers Centralorganisation 1905-1975,Stockholm : Folkparkernas Centralorganisation (FCO),[1975],31 s.,,Folkparkernas Centralorganisation,,,,,"Ohm-c, Samlingslokaler Allmänna Sverige",Br 67/2604
"Lindvall, Karin och Richette, Christian:",Folkrörelser och folkrörelsemiljöer i  Folkrörelser i Örebro län - människor och miljöer s. 203-223. ill.,Örebro.,1979,20 s. : ill.,,,,,0347-6766,Ingår i från Bergslag och bondebygd 1979. Årsbok för Örebro läns Hembygdsförbund och Stiftelsen Örebro läns museum.,,67/8738
"Björck, Henrik",Till frågan om folkhemmets rötter. En språklig historia.,Swedish Science Press,2000,32 s.,,,,"Lychnos. Årsbok för idé- och lärdomshistoria 2000, s. 139-170",,,,
"Nolin, Catharina",Till stadsbornas nytta och förlustande: den offentliga parken i Sverige under 1800-talet,"Stockholm, Byggförlaget",1999,Diss 393 s. ill,,,Stockholms universitet,,91-7988-155-6,,,
"Jansson, Sören",Förening och gemenskap: en etnologisk studie av föreningnslivet i en svensk småstad: Enköping 1880,Akademilitteratur,1981,158 s. : ill.,,,"Institutet för folklivsforskning, Stockholms universitet diss",,,doktorsavhandling i etnologi,,"67/ 9910, 67/ 9963"
"Blom, Holger",Den offentliga parken,Stockholm,1948,44 s. ill.,,,,Särtryck ur Trädgårdskonst,,,,
"Strömbäck, Folke",Tor - ett Folkets Hus på Alnö,"Sundsvalls museum, Sundsvall",1979,80 s. ill.,"Schnell, Jan-Bertil",,Sundsvalls museum,,91-85942-00-6,,,67/17673
,Bygghandledning för samlingslokaler,"Johanneshov: Bygdegårdarnas riksförbund,  Stockholm: Riksföreningen Våra Gårdar och Folkets Husföreningarnas Riksorganisaiton",1984,47 s. ill,,,"Samlingslokalorgansiationernas samarbetskommitté, Folkets Husföreningarnas Riksorganisation, Riksföreningn Våra Gårdar, Bygdegårdarnas Riksförbund",,,,"Ppb-c, Husbyggnad Sverige",
,Barn och ungdom i Folkets Hus,"Stockholm; Folkets husförening, Unga Örnar: Sveriges socialdemokratiska ungdomsförbund",1982,24 s. ill,,,"Frick, Charlotte och Hannson, Jon SSU, FHR, Unga Örnars riksförbund",,,,"Ohm-c, Samlingslokaler Allmänna Sverige",
"Andersson, Hans",Släpp krafterna loss! : folketshusrörelsens idétradition i dagens samhälle kring dagens problem,Stockholm : Liber Förlag,Nytryck 1984,,,,,,,,Ohm-c Samlingslokaelr Allmänna Sverige,
,Program för folketshusrörelsen: antaget vid Folkets husföreningarnas riksorgansiations 15:e kongress i Stockholms Folkets Hus den 2-4 juni 1980,Stockholm: Folkets Husföreningarnas Riksorganisation,1980,40 s. ill,,Folkets Husföreningarnas Riksorganisation,,,,,"OHM, Samlingslokaler Allmänna",
,Folkets Hus för alla: en debatt- och informationsskrift,Stockholm: Folkets Husföreningarnas Riksorganisation,1983,32 s. ill.,,,Folkets Husföreningarnas Riksorgansiation,,,,"Ohm-c, Samlingslokaler Allmänna Sverige",
,Nässjö  Folkets husförening 50 år : [1932-1982] : jubileumsskrift,Nässjö: Fören.,[1982],30 s.: ill.,,,,,,,"Ohm-cz, Samlingslokaler Allmönna Sverige",
,Storfors Folkets husförening 75 år: 1907-1982,Storfors: Fören.,1982,31 s. ill.,,,,,,,"Ohm-cz, Samlingslokaelr Allmänna Sverige",
"Norlenius, Sven",Edsvalla Folkets Hus: återblick på föreningens verksamhet och utveckling t o m 1982-09-04,Edsvalla: Folkets husförening,1982,56 s. : ill.,,,,,,,"Ohm-cz, Samlingslokaler Allmänna Sverige",Samling: Folkets husföreningar vol. 1
"Hultqvist, Peter",Kvarnsvedens Folkets Hus 75 år: en minnesskrift till Kvarnsvedens Folkets husförenings 75-årsjubileum,Borlänge: Kvarnsvedens Folkets Hus,[1981],21 s. ill.,,,Kvarnsvedens Folkets husförening,,,Dalarnas Folkrörelsearkiv FAW,Ohm-cz Samlingslokaler Allmänna Sverige,
"Haag, Gunnar",Norrköpings Folkets Park 1901-1981,Norrköping: Folkets Park,1981,43 s. : ill.,,,Folkets Park,,,,Ohm-cz Samlingslokaler Allmänna Sverige,
"Höglund, Robert",Historien om Folkets Park Norrköping 1901-1997 och Kulturen inom arbetarrörelsen,Norrköping,1999,114 s. : ill.,,,,,,,,
"Hellerström, Stig",Norrköpings parker 1. Folkparken: en beskrivning av dess tillkomst och utveckling,Norrköping; Park - och naturkontoret,1996,64 s. ill.,,Norrköping. Park- och naturkontoret,,,91-630-4597-4,,,
,"Folkparksforum 1969 i Stålforsskolans aula, Eskilstuna, 11 november 1969",Stockholm,1970,39 s.,,Folkets Parkers Centralorganisation,,,,,"Ohm, Samlingslokaler Allmänna",
"Persson, Nils O.",Folkets Park i Värnamo: 1914-1974,[Värnamo]…[Folkets Park],[1974],15 s. ill.,,Folkets Park (Värnamo),,,,,"Ohmz, Samlingslokaler Allmänna",
,"Folkets Park, Linköping 50 år : historik 1921-1971",Linköping : Folkets Park,1971,18 s. :  ill.,Folkets Park (Linköping),,,,,,"Ohmz, Samlingslokaler Allmänna",Br 67/5526
"Ageheim, Åsa","Samlingslokaler i Hudiksvalls kommun: examensarbete vid Arkitektursektionen, KTH",Stockholm: KTH-A,1979,61 s.,,,,,,,,
"Blomqvist, Stig",Folkparkerna i 1970-talets kulturpolitik,Stockholm: Folkparkernas Centralorganisation,1973,71 s. ill.,,"Folkparkernas Centralorganisation; Åkerström, Åsa [teckningar]",,,,,Ohmc-Samlingslokaler Allmänna Sverige,
"Östergren, Knut",Bjärnums Folkpark 1913-1973,[Bjärnum] : [Folkparken],1973,39 s. ill.,,Bjärnums Folkpark,,,,,Ohmz Samlingslokaler Allmänna,FPC´s arkiv: vol. E IX b: 1 Från Parkerna inkomna jubileumsskrifter
"Peterson, Thage G.,",Folkets Hus i centrum : information från Folkets Husföreningarnas Riksorganisation,Stockholm,1970,10 s. : ill.,,Folkets Husföreningarnas Riksorganisation,,,,,Ohm Samlingslokaler Allmänna,
,Arvika Folkets Park : 1923-50 år-1973,Arvika: Folkets Park,[1973],8 s.,,,,,,,"Ohmz, Samlingslokaler Allmänna",
"Lindström, Evert",Vardagskultur i rörelse: Folkets Park i Örebro 75 år 1977,Örebro: Föreningen Folkets Park,1977,64 s. : ill.,,,Folkets Park,,,,Ohm-cz Samlingslokaler Allmänna Sverige,FPC´s arkiv: vol. E IX b: 4 Från Parkerna inkomna jubileumsskrifter
,Föreningen Kiruna Folkpark u p a 50 år [1913-1963],Kiruna: Föreningar,[1963],10 s. : ill.,,,,,,,,
,"AB Folkets Park, Tranås, 50 år : 1907-1957",[Tranås] : [Folkets Park],1957,11 s. : ill.,,,,,,,Ohmz,
"Svanberg, Kurt",Vålbergs Folkets Hus 50 år,[Vålberg] : [Folkets husförening],1957,10 s.,,Folkets Hus (Vålberg),,,,,Ohmz,
"Peterson, Thage G.","Utredning angående eventuell sammanslagning av huvudorganisationerna Folkets Husföreningarnas Riksorganisation, Folkets Parkers Centralorganisation",Stockholm: Folkets Husföreningarnas Riksorganisation,1963,160 s. :  ill.,,"Folkets Husföreningarnas Riksorganisation, Folkets Parkers Centralorganisation",,,,,Ohm,
,"Folkets Hus, Skövde",Skövde: Folkets Hus,[1966],[20 s.]  : ill.,,Folkets Hus (Skövde),,,,,Ohmz,
,FHR / [utgiven av Folkets Husföreningarnas Riksorganisation],Stockholm,[1964],22 s. : ill.,,Folkets Husföreningarnas Riksorganisation,,,,,Ohm:bf,
"Johansson, Arndt",Falu arbetareförening : en historik [1866-1957],Falun : Föreningar,1957,142 s. : ill.,,Falu arbetareförening,,,,,Ohmz,
,30 år med Folkets Hus i Skellefteå,Skellefteå : [Folkets Hus byggnadsförening],1957,11 s.,,"Ederstål, Karl Folkets hus (Skellefteå)",,,,,Ohmz,
,Det händer i Falun : organ för Falu nya Folkets Hus - Stadsteatern,Falun : Folkets Hus,1965,,,Folkets Hus (Falun) Stadsteatern (Falun),,,,,Ikb-cz Teater Teaterhistoria Sverige Ohmz Samlingslokaler Allmänna,
,Kommunalt stöd till folkparksrörelsen / [utredningsman: Oscar Hörnelius],Stockholm : Folkets Parkers Centralorganisation,[1960],68 s. : ill.,"Hörnelius, Oscar Folkets parkers centralorg.",,,,,,Ohm-c,
,Rådgivare för samlingslokaler : FHR:s kongressbok 1957 / red. av Olle Ericsson och Arne Elmgren,[Stockholm] : [Folkets husföreningarnas riksorg.],1957,161 s. : ill.,,"Ericsson, Olle / Elmgren, Arne / Folkets Husföreningarnas Riksorgansiation",,,,,Ohm,Organisationstryck FHR 1:4 B 25/53
"Claeson, Claes-Fredrik",Lokal och publik : undersökningar kring lokaliseringen och dimensioneringen av allmänna samlingslokaler,Stockholm : Folkets Husföreningarnas Riksorganisation,1960,"158 s., : ill.",,Folkets Husföreningarnas Riksorganisation,,,,,Ohm-c,26 277
,Berättelser över Kallhälls Folkets husförenings 50-åriga verksamhet 1912-1962,Kallhäll : Fören.,[1962],7 s.,,Kallhälls Folkets husförening,,,,,Ohmz,
,Arbetarnas fastighetsförening i Skurup : 50 år : jubileumsskrift : 1906-1956,Ystad : [Fören.],1956,15 s. : ill.,,,,,,,Ohmz,
,Arbetarnas fastighetsförening i Skurup 60 år : jubileumsskrift 1906-1966,Skurup : Fören.,1966,23 s. : ill.,,,,,,,Ohmz,
,Fakta om folketshusrörelsen,Stockholm,1969,23 s. : ill.,,Folkets Husföreningarnas Riksorganisation,,,,,Ohm-c,
,Rådgivare för samlingslokaler : F. H. R:s kongressbok 1947,,1947,,,,Folkets Husföreningarnas Riksorganisation,,,,,
,Rådgivare för samlingslokaler : F H C:s kongressbok 1943,,1943,,,,Folkets Husföreningarnas Centralorganisation,,,,,Organisationstryck FHR 1:4 B 25/53
"Brihmer-Björklund, Birgitta","Förr möttes man i byarna, var träffas man idag? [Artikel]",,1984: 3,11 s. : ill.,,,,,,Ingår i Ale. - 1984: 3,Ohm-c:k46 och Ohm-c:k.5,
"Moulaison, Georges",Uddevalla Folkets Park. 1908-1978. Jubileumsskrift.,Uddevalla,[1978],91 s. ill.,,,Folkets Park,,,,Ohm-cz,FPC´s arkiv: vol. E IX b: 4 Från Parkerna inkomna jubileumsskrifter
"Lindqvist, Sigvard",Jönköpings andra Folkpark : 1923-1945 (1970) [Artikel],,1984,21 s. : ill.,,,,,,"Ingår i Gudmundsgillets årsbok. - 1984 (40), s. 50-71 : ill.",Ohm-cz,67/11 138
"Lindqvist, Sigvard",Jönköpings första Folkets Park : 1906-1911 [Artikel],,1983,11 s. : ill.,,,,,,"Ingår i Gudmundsgillets årsbok. - 1983 (39), s. 62-73 : ill.",Ohm-cz,67/11008
"Engel, Ann Mari",Mellan masskultur och finkultur : Folkparkernas teaterverksamhet 1905-1980 [Artikel],Stockholm,1982,8 s. : ill.,,,Arbetarrörelsens arkiv och bibliotek i Stockholm,,,Ingår i Meddelande från Arbetarrörelsens arkiv och bibliotek 1982:22(Årg.6) s. 34-41 : ill.,Ikb-c.5 Ohm-c:5,REF
"Jönsson, Ronny",Nu eller aldrig : historien om en Folkpark och människorna som aldrig gav upp : Hasselbacken från 1930-talet och inför 2000-talet  [Artikel],Alstermo,1996,55 s. : ill.,,,,,,"Ingår i Älghultskrönika. - 1996(53), s. 66-121 : ill.",,
"Hellgren, Otto",En högtidsdag i Grängesberg : invigningen af “Cassels donation” [Artikel],,1900,2 s.,,,,,,Ingår i Svensk löraretidning. - 1900(19:5) s. 85-86 Om samlingslokal för arbetarna. Tal av J.A. Ekman,,
"Sörensen, Arne",Våra samlingslokaler,,1934,2 s.,,,,,,"Ingår i Frihet (Stockholm). - 1934(18:18), s. 9-10",,B 19/18-20
"Olsson, Oscar",Bygdegårdar och föreningslokaler : (ur en ny upplaga av Folkets bildningsarbete) [Artikel],,1921,5 s.,,,,,,Ingår i Bokstugan. - 1921(5:7) s. 145-149,,
"Berggren, Kersti",Folkrörelsernas hus,,1997,9 s. : ill.,,,,Folkrörelserna : demokratins vägröjare,,"Ingår i Folkets historia. - 1997(25:1), s. 26-34 : ill.",Ohm-c:k.5  Ku-c.5,C25/06
"Ström, Fredrik",Folket och skönhetssinnet [Artikel],,1916,1 s.,,,,,,"Ingår i Morgonbris. - 1916(12:12), s. 4",,"Org.ref. B 19/25-26, IX:11 1904-1928"
"Billing, Peter","Sillafrukost, dans och annat i Malmö Folkets Park 1891-1930 [Artikel]",,,11 s.,,,,,,"Ingår i Arbetets historia. - 7, s. 75-85",Ohm-cz,
"Schnell, Jan-Bertil",Folkrörelsernas byggnader [Artikel),Stockholm : Carlsson i samarbete med RAÄ och SR,1995,13 s. : färgill.,,"Dunér, Katarina och Hall, Thomas",,,,Ingår i Svenska hus s. 197-209,,
,"100 år - Metall, Avd. 82 - Norrtälje","Norrtälje : Avdelning 82, Svenska Metallindustriarbetareförbundet",1999,"103, s. : ill.",,Svenska Metallindustriarbetareförbundet. Avdelning 82,,,,,Ohai-cza Fackliga organisationer Sverige,67/18384
"Cederholm, Gunnar",Folkets Parks i Mölndal historia 1918-1945,"Göteborg : Göteborgs univ., litt. vet. inst.",1995 [1982],29 s. : ill.,"Hesselroth, Lennart",,,,,Finns på FA Mölndal,Ohm-cz,
,Folkets Park : folkparkschefens hus och vaktmästarbostaden,[Halmstad] : Landsantikvarien,1995,[23] s. : ill.,,Hallands län. Landsantikvarien,,,,,Icv-cz,
"Andersson, Gunder",Folkets Park : en hundraårig historia,Stockholm : Gidlund i samarbete med Folkparkerna i Sverige,1991,164 s. : ill.,,Folkparkerna i Sverige,,,91-7843-014-3,,Ohm-c:k.5  Ikö-c:k.5,67/14770
"Billing, Peter",Hundra år i folkets tjänst : Malmö Folkets Park 1891-1991 : jubileumsskrift,Malmö : Malmö socialdemokratiska förening,1991,62 s. : ill.,,Malmö socialdemokratiska förening,,,,,Ohm-cz,67/14889
"Jansson, Evert",Folkets Park Riddarhyttan 60 år,Riddarhyttan : Folkets Hus & Park i Riddarhyttan,1980,26 s. : ill.,,,,,,FHP-enkät,,
"Sjökvist, Gunnar",Folkets Park och Folkets Hus i Gislaved : en 50-årskrönika,Gislaved : Fören. Folkets Park och Folkets Hus,1981,36 s. : ill.,,,Folkets Park,,,,Ohm-cz,
"Andersson, Carl-Ola",Fackföreningsrörelsen i Skelleftebygden : en minnesskrift till Skellefteå fackliga centralorganisations jubileumsfest den 26 augusti 1951,Umeå,1951,27 s. : ill.,,,,,,,,Br 67/5332
"Engman, Annika",“Vi bygger Östersunds Folkets Hus” : en berättelse om ett stort kollektivt förarbete av människor från de olika ägarorganisationerna,Östersund : Fören. Folkets Hus,1981,20 s. : ill.,,,Föreningen Folkets Hus,,,,Ohm-cz,Organisationstryck FHR och FPC lokalt B 25/53
"Willner, Margareta",Varsinais-Suomen työväentalot : rakennushistoriallinen dokumentointi ennen vuotta 1935 rakennetuista työväentaloista / Folkets hus i Egentliga Finland : en byggnadshistorisk dokumentation av arbetarföreningshus byggda före år 1935,Turku,1978,149 s. : ill.,,,,Raportteja / Turun kaupungin historiallinen museo ; 2,951-9125-19-1,,Ic-dd.5 Arkitektur Finland Modern Tid Ohm-dd Samlingslokaler Allmänna Finland,
"Bergman, E R",Abisko Folkets Hus 1908-1978,Kiruna,1979,8 s.,,,,,,,Ohm-cz,
,Föreningen Folkets Hus Katrineholm 75 år 1903-1978 : jubileumsskrift,Katrineholm : Fören.,1978,36 s. : ill.,,,Katrineholms Folkets husförening,,,,Ohmz,
,Folkets Hus i Karlskoga : 25 år : 1953-1978,Karlskoga : Fören. Folkets Hus,[1978],19 s. : ill.,,,Föreningen Folkets Hus,,,,Ohmz,
"Olsson, Reinhold",75 år i folkrörelsernas tjänst : Folkets Hus & Park i Sundsvall 1902-1977,Sundsvall : Fören. Folkets Hus och Park,1977,62 s. : ill.,,,Föreningen Folkets Hus och Park,,,,Ohm-cz,Br 67/1573
"Ahlman, Harald",Folketshusresan i Skåne,Lund : ABF Skåne,[1979],59 s. : ill.,,,ABF,,,,Ibz Konst Konsthistoria Ohm-c Samlingslokaler Allmänna Sverige,Br 67/2654
"Göransson, Rune",Folkets Hus och Park Härnösand 75 år,Härnösand : Fören. Folkets Hus i Härnösand,1978,32 s. : ill.,,,Föreningen Folkets Hus,,,,Ohm-cz,
"Jullum, Bjarne",Folkets Hus 50 år : 1907-1957,Oslo,1957,122 s. : ill.,,,,,,,,39669
,"Föreningen Folkets Hus, Krokslätt i Mölndal, u.p.a. : kort resumé över verksamheten under tiden från starten år 1924 till nedläggandet av verksamheten år 1964",Mölndal: Fören.,1965,11 s.,,Föreningen Folkets Hus (Krokslätt i Mölndal),,,,,Ohmz,
,"Föreningen Folkets Hus, Bureå : historik 1923-1959",Bureå : Fören.,1959,15 s. : ill.,,Föreningen Folkets Hus,,,,Uppgift i FHP-enkät,Ohmz,
,"Föreningen Folkets Hus, Bollnäs, 1913-1963",Bollnäs : Fören.,1963,14 s.,,,,,,,Ohmz,
"Elowsson, Nils",Åhus Folkets Hus- och parkförening 50 år : minnesskrift,[Åhus] : [fören.],1956,27 s. : ill.,,,,,,,Ev-c:bf Folkbildning Sverige,
"Gustafsson, Hans",I samhällets och folkrörelsernas tjänst 1937-1962,[Norrhult] : Södra Smålands distrikt av Folkets Hus och Parker : Södra Sveriges folkbiografer,1962,35 s. : ill.,,Södra Sveriges folkbiografer Södra Smålands distrikt av Folkets Hus och Parker,,,,,Ohm:bf,
"Lundkvist, Olle",Arbetarborgen : [Kristinehamns Folkets Hus invigning den 1 december 1935],Kristinehamn : Folkets husfören.,1935,28 s. : ill.,,,,,,,,Br 67/5606
,"10-åringen : basartidning utgiven av Föreningen Folkets Hus, Karlskoga, november 1911",Örebro,1911,16 s. : ill.,,,,,,,,Br 67/5605
